page rank,identifier
43755.67044109997,"Museum of Comparative Zoology, Harvard University"
38889.60314947475,SEMC
22989.264288595696,Invertebrate Zoology
16194.707669663718,ANTWEB
14481.365188894268,IZ
14193.558145896275,KUH
11960.173036343947,Harvard University
11892.287812134375,Herps
11363.621308593722,KANU
11089.92627969393,Birds
10836.291947410824,Herpetology
10827.782713653383,HERP
10793.867515775284,Plants
10697.193048020948,BOT
9395.497063510747,Fish
9324.96007372337,Mala
9253.29556566043,Insects
8680.00694844864,Herp
8499.732411865152,Mammals
8060.980324000356,Orn
7393.053824410777,CONN
7163.278331349262,Eggs
7045.929166000002,NCSU
7030.949701101244,KUM
6846.231891082589,OSAC
6606.410963551635,ENT
6025.398177218651,DS
5803.102754909716,TAMUIC
5642.520424743084,ICH
5046.408455071943,KUMIP
4928.936289295712,"Museum of Comparative Zoology, H"
4844.663955125014,DMNS
4692.895981882431,AMNH
4618.683031166241,IP
4513.28098069008,GH
4496.547383159733,fish
4456.278390555561,CSUC
4399.656570411684,Ich
4238.349745033075,"CASC, San Francisco, CA, USA"
4133.568839771833,ORN
4078.5357121357442,Ent
3801.157307345272,NCSM
3748.727084058767,FH
3631.11007918339,A
3581.504662350425,JTLC
3545.1215349702393,NMSU
3412.616739523809,UCMC
3141.310982574516,Fishes
2887.1246573164653,SU (ICH)
2623.12239366567,UAIC
2588.9204061755927,YU
2414.0724240079353,Bird
2306.6441091046577,Ichthyology
2260.232335615078,TTU-Z
2244.6260777096836,ASUHIC
2199.114771659222,MSBA
2083.321020272816,Botany
1994.751728015872,ILLS
1985.307781226189,mollusk
1978.2737646736127,Mamm
1900.389241765475,NCSM-Fishes
1851.9461107849665,Fungi
1842.2777593489573,Mites
1799.1781196770826,NEBC
1744.6572686755935,KUI
1667.1363313988086,LOT
1595.7771598586303,ANIC
1442.2657478720232,CBS
1430.0481461309507,CUIC
1402.9494045944946,UDCC
1333.5954846874993,UCR
1331.6856705357136,UK
1299.5069270833344,MEMU
1297.13337544643,Florida State University
1280.7098086805547,MAM
1233.6725783333322,SUR
1158.8523133593746,NAUF
1044.3088297767838,NCSM-Herp
1032.8549297619043,SUA
994.2087677827386,NPS
869.3159681764636,KBVE-SRBE
725.7922147321431,BPBM
697.9469806175598,INBio
685.6693519144344,BYUC
682.4899968750001,CMNH
681.7140000000002,NCU
677.2742248511902,UCB
663.1706137648815,urn:lsid:biosci.ohio-state.edu:osuc_names:605
659.9858598214287,CSCA
637.6568227678567,SIIS
624.903103764881,NCSM-Invert
613.9403759337804,AMES
612.6074889415926,Arthropods
591.9139943452384,crustacean
463.571911235119,urn:lsid:biosci.ohio-state.edu:osuc_names:111120
399.4556611607142,CAS
395.58529275242694,NCSM-Mammals
387.61357778273805,KUIT
342.6312926153275,urn:lsid:biosci.ohio-state.edu:osuc_names:13712
314.8659379464287,FSU
311.23286339285676,UMAM
239.4303061755954,EPEC
232.88633831845215,urn:lsid:biosci.ohio-state.edu:osuc_names:13556
232.36326374999956,VP
199.02865892857122,urn:lsid:biosci.ohio-state.edu:osuc_names:461
184.33177440476197,L
177.282007217262,"MHNG, Geneva, Switzerland"
177.0469455357144,herbarium
167.25955096726187,"BMNH, London, U. K."
165.70510081845234,urn:lsid:biosci.ohio-state.edu:osuc_names:496
163.13310833333327,MGBPC
159.2847383928571,Amphibians
152.83615394345242,urn:lsid:biosci.ohio-state.edu:osuc_names:108
150.1494354910713,urn:lsid:biosci.ohio-state.edu:osuc_names:15368
142.32828666294654,JDM
136.96678928571433,BYU
134.39926056547625,LACM
128.19884955357142,urn:lsid:biosci.ohio-state.edu:osuc_names:15236
125.22357633928584,UMNH
117.0851478720239,Ornithology
115.46476681547618,urn:lsid:biosci.ohio-state.edu:osuc_names:297035
114.04703385416663,urn:lsid:biosci.ohio-state.edu:osuc_names:15243
109.87477090773817,urn:lsid:biosci.ohio-state.edu:osuc_names:487
105.47552001488094,"NHMB, Basel, Switzerland"
103.48326547619048,"UCDC, Davis, CA, USA"
102.3092093005953,urn:lsid:biosci.ohio-state.edu:osuc_names:67
95.60941696428574,MMPC
95.55115022321432,urn:lsid:biosci.ohio-state.edu:osuc_names:589
91.58632680431549,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp6-1906610478252070217.att.JPG
91.48392678571422,PDA
91.29406183035711,urn:lsid:biosci.ohio-state.edu:osuc_names:556
91.16270394345236,"PSWC, Davis, CA, USA"
90.34750840773809,"MCZC, Cambridge, MA, USA"
87.06548891369044,urn:lsid:biosci.ohio-state.edu:osuc_names:295703
86.81763422619052,urn:lsid:biosci.ohio-state.edu:osuc_names:95
85.1312848214285,TERC
84.73209598214287,SOSC
82.97688392857134,urn:lsid:biosci.ohio-state.edu:osuc_names:295195
82.81537254464286,urn:lsid:biosci.ohio-state.edu:osuc_names:455
