page rank, identifier
292.76675000000336,"Museum of Comparative Zoology, Harvard University"
258.8050000000023,SEMC
140.59125000000063,Invertebrate Zoology
108.33162499999956,ANTWEB
97.5153749999999,IZ
88.53937499999986,KUH
78.79837499999971,Harvard University
75.96999999999983,Herps
73.14374999999983,BOT
70.78641666666648,HERP
70.57249999999985,KANU
70.23250000000003,Plants
69.70124999999983,Birds
68.73437499999984,Herpetology
63.53450000000007,Mala
62.837499999999864,Fish
58.49400000000002,Herp
57.5659062499999,Insects
54.439499999999995,Orn
51.997874999999894,Mammals
50.002500000000005,NCSU
49.14187499999991,CONN
46.77249999999992,KUM
45.64624999999993,ENT
45.348749999999995,OSAC
44.95403124999992,Eggs
38.824999999999946,TAMUIC
37.40124999999995,DS
34.922224999999955,KUMIP
34.022499999999965,ICH
33.873750000000015,"Museum of Comparative Zoology, H"
31.578749999999967,DMNS
30.686250000000012,AMNH
29.863875000000032,GH
29.432499999999976,fish
29.398499999999952,IP
29.241249999999987,CSUC
28.926750000000045,"CASC, San Francisco, CA, USA"
28.91612499999997,Ent
27.817499999999963,Ich
26.542499999999986,ORN
24.804250000000028,A
24.651249999999987,NMSU
24.336750000000027,JTLC
23.966999999999988,NCSM
23.705625000000015,FH
23.185,UCMC
20.231250000000017,Fishes
18.000000000000004,SU (ICH)
17.24403125000001,YU
16.470000000000006,Bird
16.300000000000004,Ichthyology
15.620000000000005,TTU-Z
15.195000000000002,Botany
14.982500000000009,UAIC
14.394725000000006,ASUHIC
14.073000000000008,Mamm
14.047500000000005,MSBA
13.070000000000004,ILLS
12.815000000000005,NEBC
12.485625000000004,KUI
11.922500000000005,mollusk
11.707875000000008,NCSM-Fishes
11.274375000000001,Mites
11.072500000000002,Fungi
10.636874999999998,ANIC
10.477500000000004,LOT
9.584999999999999,CUIC
9.4575,UDCC
8.9475,UCR
8.373750000000003,NAUF
8.352500000000003,CBS
7.991249999999998,UK
7.86375,MEMU
7.842500000000002,MAM
7.672499999999999,PZSL 1848
7.545000000000001,SUR
7.48125,Florida State University
6.831000000000003,NCSM-Herp
6.78,EOLID:11119143
6.695000000000001,SUA
6.652500000000001,NPS
5.95125,BPBM
5.505000000000001,AMNH specimen 5116
5.504999999999999,UCB
5.3774999999999995,AMNH specimen 5027
5.25,KBVE-SRBE
5.25,SIIS
4.93125,CMNH
4.899375000000001,CSCA
4.74,BYUC
4.676249999999999,INBio
4.2299999999999995,Arthropods
4.145,NCU
3.9750000000000005,NCSM-Invert
3.966499999999999,AMES
3.9325,crustacean
3.879375,urn:lsid:biosci.ohio-state.edu:osuc_names:605
3.7837499999999995,urn:lsid:biosci.ohio-state.edu:osuc_names:111120
3.337499999999999,EOLID:39513
3.114375,CAS
2.967749999999999,KUIT
2.63625,FSU
2.5725000000000002,NCSM-Mammals
2.23090625,urn:lsid:biosci.ohio-state.edu:osuc_names:13712
2.0624999999999996,EOLID:2312
2.0306249999999997,urn:lsid:biosci.ohio-state.edu:osuc_names:13556
1.9987499999999998,UMAM
1.9349999999999998,EOLID:4752261
1.9349999999999996,AMNH 460
1.9349999999999996,EOLID:15503955
1.8393749999999995,EPEC
1.8074999999999999,VP
1.8074999999999997,EOLID:25467
1.5843749999999999,"MHNG, Geneva, Switzerland"
1.5525,EOLID:2979542
1.5524999999999998,MSN 1332
1.5524999999999993,USNM 874926
1.4674999999999998,L
1.4249999999999996,urn:lsid:biosci.ohio-state.edu:osuc_names:461
1.329375,MGBPC
1.2974999999999999,AMNH 5895
1.2974999999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:496
1.23375,"BMNH, London, U. K."
1.2124999999999997,herbarium
1.17,EOLID:30655
1.17,AMNH 5027
1.17,EOLID:11021483
1.048875,Ornithology
1.0425,EOLID:10999588
1.0425,BYU
1.0106249999999999,"UCDC, Davis, CA, USA"
1.0106249999999999,JDM
1.0106249999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:297035
0.9994334078112798,
0.9468749999999998,urn:lsid:biosci.ohio-state.edu:osuc_names:108
0.915,EOLID:35256
0.915,EOLID:10720404
0.915,EOLID:2567084
0.9149999999999999,USNM 414915
0.9149999999999999,USNM 2673
0.9149999999999999,Amphibians
0.9149999999999999,AMNH 24000
0.9149999999999999,MMPC
0.8831249999999998,urn:lsid:biosci.ohio-state.edu:osuc_names:15243
0.8831249999999998,urn:lsid:biosci.ohio-state.edu:osuc_names:15368
0.85125,urn:lsid:biosci.ohio-state.edu:osuc_names:295195
0.85125,PDA
0.8512499999999998,UMNH
0.8512499999999998,urn:lsid:biosci.ohio-state.edu:osuc_names:487
0.8512499999999997,urn:lsid:biosci.ohio-state.edu:osuc_names:15379
0.8512499999999997,EMSC
0.8193749999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:295703
0.8193749999999999,urn:lsid:biosci.ohio-state.edu:osuc_names:296303
0.798125,USNM
0.7875,VIAF 17171050
0.7875,EOLID:2570710
0.7875,USNM:Herp:533614
0.7875,urn:lsid:biosci.ohio-state.edu:osuc_names:556
0.7875,AMNH 5214
0.7875,EOLID:11096836
